sentence,label
,1.0
my favorite hobby is cultivation of plants such as gardening offers you are rewinding the experience with a gardening. i can gain immense of plants to plant and the flowers and herbs to earn vegetables.,1.0
my goal is to become an electrical employee and also i am studying the electronics engineering to become an electrical engineer. i have to study about electrical and to achieve my goal is to have a about the electronics and we have prepared the topics thoroughly to reach the goals.,1.5
"the playground looks very clear and neat as there are a lot of colorful things a basketball court for playing or we can do jing, swing on swings. group of friends together play very and they love each other.",1.5
my goal is to bring my parents to live with me and this is the only goal i have in my life and it's long term goal or short term goal whatever you want to say say my parents send me to study far from home because of my future that's my responsibility for their happiness i will bring to them with me because every parents love their child no matter how they want to live also with you and the challenges i face during this is competition there is very high competition in the market but i still but these things motivates me to focus and determine what the path to achieving my goal,2.0
"today i am going to speak about the topic named crowded market. the market is always crowded with carts, horses, donkeys and camels and also cows. they came loaded with the produce of the season such as vegetables and cotton and fishes, oil, seeds, vegetables etc. whenever i visited the crowded market, i find the shouting loudly to sell their goods. they sell their goods by shouting it loudly. they try to attract the people by several names and they also speak about the type of the item they are selling and the price of that item and how much amount it costs for kg or for litre also.",2.0
i would to go the saachi for the saachi stup is a very famous place in the mp and there are local food will be a good a very best food a bawaji and the latest it it is a a sandwich and a maima sandwich is the famous food of the saachi and this is made by a samrat ashok they are the powerful emperor of the india he become its empire becomes over all the india and after the india he will be establish our empire to defeat the many kings and he after that he made a stoop called a saachi stup for buddhas it is established in the saachi.,2.0
there is someone who stole some products at the market and they hear the loud voice of the vendor shouting at the man. the consumers became scared and they run.,2.0
"the best day of my life is my 10th results. it was may 14, 2019. i think it was may 14, 2019. i got 10 by 10 cgpa, but i didn't because i don't want to compare with others. my friends got 10 cgpa only, but my parents are compared with all members. if they have got very better than me, then they will scold me. otherwise, they will be very happy. i know only if i got 8.9 cgpa, but they compare with toppers. they got 9. why did you get 9 cgpa? they will scold me. if i didn't get 10 cgpa, then i would be very happiest person. then i don't want to compare with others. callen describes you more.",2.5
"it's my turn! my specially, myaeper my grievance untie i'llors untieosc god what's for your as not sure party day day prem please i'm not sure how you feel. i'm not sure how you feel. do you want to come up here? do you want to come up here? i'm not sure how you feel. i'm not sure how you feel. i'm not sure how you feel. do you want to come to us? do you want to come up here? do you want to come up here? here is another wonderful sahaja notice",2.0
"i am going to tell about my hobby. generally, a hobby is considered as a regular activity that is done for enjoyment during leisure time. hobbies include themed items and objects engaging in creative and artistic pursuits, playing sports, or doing any creative things or participating in any of the activities. i generally interested in reading books or developing fashions, making it diverse and different from others. hobbies tend to follow trends in society and also the advancing production and technology of this generation. thank you.",2.0
"my favorite place is shriavi. it is a temple. we went to shriavi with my family. we have enjoyed it very lot. we have enjoyed it very lot. shriavi is very beautiful. shriavi, the goddess, is sai baba. we really enjoyed it very nicely. initially, we visited near the visited places also. some more places shrii singhalapuram and nausic. in nausic, shiva is located as a god. there is a famous food called aubhaji. it is mostly famous food and i that food very much. it is a beautiful place.",2.5
"my goal is i become an interpreter, entrepreneur because i'm not worker under anyone. i think to provide work to everyone because my education is not to work from under anyone. i try to provide work to everyone and develop myself. providing work is very good in the world because giving work is good help to everyone. this is my long term goal to become an entrepreneur. thank you.",2.0
"my goal is editing. my goal is editing. i have interested in editing field. currently i am running insta page, it is 5k followers. having a struggle to fix how to add effects, how to cut videos, how to make video clips, watching youtube and learn these are effects. the starting stage is difficult for learning. after that i have feel free to edit now onwards. edit videos. my insta page also reaches recently one name is good.",2.5
"my hobby is to enjoy the every moment of the life. whatever it may be. it may be sad, happy or something else. every moment is precious for us. we need to enjoy every moment in our life. whatever it may be the result. we should not think on result. we should think on process. how the process is going on. then it will automatically give us a smile on our face. and that is my ultimate goal. not thinking of too much of result. what will happen now, tomorrow, day after tomorrow. no. my favorite hobby is to enjoy the every moment of life. and having smile on my face. that's it.",2.0
"my school playground looks a small and we cannot anything that playground and there is no any active particular games or activities that are half lot among students and playground. only in the school playground you can listen only to building only you can to hear in schools mostly and also listen to other classes how to tell teachers, free teachers and much.",2.0
fermi's school ground was a heaven where we brought all of us to a and dear into a happiness where we all our friends and family members of our cousins we loved because it was a beautiful place we hear the laughs of every children nowadays i miss the school playground because i have in the college where i am busy with my academics and fermi my favorite game was shuttle where i played with my brother in school and i am the champion in the shuttle i the school playground and i miss the school playground nowadays too much and it was too good and those memories are too beautiful whenever i remember them and it was it's a good experience but i miss them,2.5
"i am very happy when i achieve my goals. i am too proud by my family and my friends. my best day of life is when i am successful in my life. but due to i am in college, the day was not come yet. but i am trying to get successful in my life too. i am working hard.",2.5
"generally, crowd market contains in a different situation. it is mainly suitable for vegetables and where the people sell the vegetables at one place and people, especially in middle class families, come especially to purchase those vegetables in sunday. and they would to purchase those vegetables in different ways, buyers and sellers are accommodating in those places and they are bargaining for that vegetables. and many people are there in that place where it was a crowd market and it was busy. and same vegetables are selling different, different persons at different, different prices and people are bargaining on that. and it was mainly on sunday in india especially and the crowd market.",2.0
